Blocks,Total,Func,Module
4,7,"sgx_spin_lock","Unknown"
3,5,"sgx_wc_benchmark_test","trusted/Wolfssl_Enclave_t.o"
3,5,"sgx_wc_test","trusted/Wolfssl_Enclave_t.o"
1,1,"strlen","Unknown"
48,83,"sys_alloc","Unknown"
1,1,"tc_set_idle","Unknown"
12,17,"trts_ecall","Unknown"
12,17,"trts_mprotect","Unknown"
3,4,"update_ocall_lastsp","Unknown"
6,10,"vsnprintf","Unknown"
1,1,"wc_InitMutex","/home/leone/Documents/sgxfuzz/Enclaves/wolfssl-all/wolfssl/IDE/LINUX-SGX/libwolfssl.sgx.static.lib.a"
1,1,"wc_LockMutex","/home/leone/Documents/sgxfuzz/Enclaves/wolfssl-all/wolfssl/IDE/LINUX-SGX/libwolfssl.sgx.static.lib.a"
1,1,"wc_UnLockMutex","/home/leone/Documents/sgxfuzz/Enclaves/wolfssl-all/wolfssl/IDE/LINUX-SGX/libwolfssl.sgx.static.lib.a"
1,1,"wc_benchmark_test","trusted/Wolfssl_Enclave.o"
1,1,"wc_test","trusted/Wolfssl_Enclave.o"
1,1,"wolfCrypt_Init","/home/leone/Documents/sgxfuzz/Enclaves/wolfssl-all/wolfssl/IDE/LINUX-SGX/libwolfssl.sgx.static.lib.a"
2,3,"wolfSSL_CTX_free","/home/leone/Documents/sgxfuzz/Enclaves/wolfssl-all/wolfssl/IDE/LINUX-SGX/libwolfssl.sgx.static.lib.a"
1,1,"wolfSSL_CTX_new","/home/leone/Documents/sgxfuzz/Enclaves/wolfssl-all/wolfssl/IDE/LINUX-SGX/libwolfssl.sgx.static.lib.a"
4,10,"wolfSSL_CTX_new_ex","/home/leone/Documents/sgxfuzz/Enclaves/wolfssl-all/wolfssl/IDE/LINUX-SGX/libwolfssl.sgx.static.lib.a"
2,3,"wolfSSL_Cleanup","/home/leone/Documents/sgxfuzz/Enclaves/wolfssl-all/wolfssl/IDE/LINUX-SGX/libwolfssl.sgx.static.lib.a"
6,12,"wolfSSL_Init","/home/leone/Documents/sgxfuzz/Enclaves/wolfssl-all/wolfssl/IDE/LINUX-SGX/libwolfssl.sgx.static.lib.a"
2,3,"wolfSSL_free","/home/leone/Documents/sgxfuzz/Enclaves/wolfssl-all/wolfssl/IDE/LINUX-SGX/libwolfssl.sgx.static.lib.a"
1,71,"wolfcrypt_test","/home/leone/Documents/sgxfuzz/Enclaves/wolfssl-all/wolfssl/IDE/LINUX-SGX/libwolfssl.sgx.static.lib.a"
0,36,"AddCA","/home/leone/Documents/sgxfuzz/Enclaves/wolfssl-all/wolfssl/IDE/LINUX-SGX/libwolfssl.sgx.static.lib.a"
0,29,"AlertTypeToString","/home/leone/Documents/sgxfuzz/Enclaves/wolfssl-all/wolfssl/IDE/LINUX-SGX/libwolfssl.sgx.static.lib.a"
