Blocks,Total,Func,Module
0,21,"AES_set_encrypt_key","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"AES_unwrap_key","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"AES_wrap_key","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,9,"ASIdOrRange_cmp","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ASIdOrRange_free","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ASIdOrRange_new","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,50,"ASIdentifierChoice_canonize.part.0","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ASIdentifierChoice_free","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,30,"ASIdentifierChoice_is_canonical.part.0","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ASIdentifierChoice_new","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ASIdentifiers_free","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ASIdentifiers_new","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,11,"ASN1_BIT_STRING_check","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ASN1_BIT_STRING_free","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,5,"ASN1_BIT_STRING_get_bit","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ASN1_BIT_STRING_new","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ASN1_BIT_STRING_set","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,16,"ASN1_BIT_STRING_set_bit","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ASN1_BMPSTRING_free","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ASN1_BMPSTRING_new","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ASN1_ENUMERATED_free","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,10,"ASN1_ENUMERATED_get","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,28,"ASN1_ENUMERATED_get_int64","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ASN1_ENUMERATED_new","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ASN1_ENUMERATED_set","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,9,"ASN1_ENUMERATED_set_int64","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,7,"ASN1_ENUMERATED_to_BN","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,9,"ASN1_GENERALIZEDTIME_adj","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ASN1_GENERALIZEDTIME_check","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ASN1_GENERALIZEDTIME_free","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ASN1_GENERALIZEDTIME_new","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,3,"ASN1_GENERALIZEDTIME_print","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ASN1_GENERALIZEDTIME_set","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,6,"ASN1_GENERALIZEDTIME_set_string","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ASN1_GENERALSTRING_free","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ASN1_GENERALSTRING_new","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ASN1_IA5STRING_free","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ASN1_IA5STRING_new","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,3,"ASN1_INTEGER_cmp","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ASN1_INTEGER_dup","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ASN1_INTEGER_free","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,7,"ASN1_INTEGER_get","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,28,"ASN1_INTEGER_get_int64","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,22,"ASN1_INTEGER_get_uint64","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ASN1_INTEGER_new","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,1,"ASN1_INTEGER_set","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
0,9,"ASN1_INTEGER_set_int64","/home/leone/Documents/sgxfuzz/Enclaves/intel-sgx-ssl/Linux/package/lib64/libsgx_tsgxssl_crypto.a"
