Blocks,Total,Func,Module
22,35,"mbedtls_ecp_check_pubkey","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
7,14,"mbedtls_ecp_group_free","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
1,1,"mbedtls_ecp_group_init.part.0","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
6,25,"mbedtls_ecp_group_load","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
2,3,"mbedtls_ecp_keypair_init","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
1,1,"mbedtls_ecp_point_free.part.0","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
1,1,"mbedtls_ecp_point_init.part.0","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
7,13,"mbedtls_ecp_point_read_binary","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
14,18,"mbedtls_entropy_func","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
3,3,"mbedtls_entropy_init","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
3,4,"mbedtls_hardware_poll","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
5,5,"mbedtls_internal_aes_encrypt","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
1,1,"mbedtls_md_init","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
15,21,"mbedtls_mpi_add_abs","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
7,9,"mbedtls_mpi_add_mpi","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
11,11,"mbedtls_mpi_bitlen","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
17,22,"mbedtls_mpi_cmp_abs","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
1,1,"mbedtls_mpi_cmp_int","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
23,29,"mbedtls_mpi_cmp_mpi","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
8,12,"mbedtls_mpi_copy","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
7,8,"mbedtls_mpi_free","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
6,12,"mbedtls_mpi_grow","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
3,3,"mbedtls_mpi_init","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
2,3,"mbedtls_mpi_lset","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
18,24,"mbedtls_mpi_mul_mpi","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
11,13,"mbedtls_mpi_read_binary","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
1,1,"mbedtls_mpi_size","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
10,14,"mbedtls_mpi_sub_abs","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
1,1,"mbedtls_mpi_sub_int","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
5,10,"mbedtls_mpi_sub_mpi","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
1,1,"mbedtls_net_connect_ocall","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
1,1,"mbedtls_net_init_ocall","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
7,9,"mbedtls_oid_get_ec_grp","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
7,9,"mbedtls_oid_get_pk_alg","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
4,6,"mbedtls_oid_get_sig_alg","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
8,9,"mbedtls_oid_get_x509_ext_type","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
3,3,"mbedtls_pem_free","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
1,1,"mbedtls_pem_init","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
22,107,"mbedtls_pem_read_buffer","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
5,6,"mbedtls_pk_info_from_type","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
3,3,"mbedtls_pk_init","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
20,31,"mbedtls_pk_parse_subpubkey","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
6,9,"mbedtls_pk_setup","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
9,11,"mbedtls_rsa_check_pubkey","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
1,1,"mbedtls_rsa_init","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
6,8,"mbedtls_sha512","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
6,8,"mbedtls_sha512_finish","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
3,3,"mbedtls_sha512_free.part.0","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
8,8,"mbedtls_sha512_process","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
2,3,"mbedtls_sha512_starts","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
2,3,"mbedtls_sha512_update","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
19,26,"mbedtls_sha512_update.part.0","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
1,1,"mbedtls_ssl_config_init","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
1,1,"mbedtls_ssl_cookie_init","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
1,1,"mbedtls_ssl_init","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
1,1,"mbedtls_ssl_ticket_init","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
1,1,"mbedtls_x509_crt_init","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
16,28,"mbedtls_x509_crt_parse","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
104,156,"mbedtls_x509_crt_parse_der.part.0","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
1,1,"mbedtls_x509_get_alg","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
5,9,"mbedtls_x509_get_ext","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
16,24,"mbedtls_x509_get_name","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
5,8,"mbedtls_x509_get_serial","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
4,6,"mbedtls_x509_get_sig","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
7,15,"mbedtls_x509_get_sig_alg","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
44,51,"mbedtls_x509_get_time","/home/leone/Documents/sgxfuzz/Enclaves/mbedtls-SGX/build/trusted/libmbedtls_SGX_t.a"
5,8,"mbrtowc",""
1,1,"memcmp",""
1,1,"memcpy",""
7,21,"memcpy_s",""
1,1,"memset",""
6,9,"memset_s",""
